"tvg","target","progs","src","targetName","providerChannel","confident","review","reviewedOn","reason"
"TNTSport2.uk","TNT.Sports.2.HD.uk","101","epgshareUK","TNT Sports 2 HD","VIP: TNT SPORT 2 ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"Sony.in","SONY.TV.HD.uk","93","epgshareUK","SONY TV HD","UK: SONY TV HEVC 4K","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"DiscoveryDMAX.uk","DMAX.uk","201","freeview","DMAX","UK: DMAX ◉","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"HighStreet1.uk","HighStreetTV1.uk","332","freeview","High Street TV 1","UK: HIGH STREET TV 1 ◉","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"BBCOneWestMidland.uk","BBCOneWest.uk","149","freeview","BBC One West HD","UK: BBC ONE WEST ◉","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"HighStreet3.uk","High.Street.TV.3.uk","106","epgshareUK","High Street TV 3","UK: HIGH STREET TV 3 ◉","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"RTETwo.ie","RTE.Two.HD.ie","98","epgshareIE","RTE Two HD","IRL: RTE TWO 4K","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"StarUtsav.in","Utsav.Plus.HD.uk","190","epgshareUK","Utsav Plus HD","UK: UTSAV PLUS HEVC HD","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"CrimeInvestigation.us","Crime.&.Investigation.HD.ie","103","epgshareIE","Crime & Investigation HD","US: CRIME & INVESTIGATION HD","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"BBCOneEastMidland.uk","BBCOneEastMidlands.uk","149","freeview","BBC One East Midlands HD","UK: BBC ONE EAST W ◉","False","REJECTED","2026-08-11","provider labels it 'BBC ONE EAST W' = BBC One East (West sub-region), not East Midlands; BBCOneEast.uk exists separately"
"TNTSport3.uk","TNT.Sports.3.HD.ie","97","epgshareIE","TNT Sports 3 HD","VIP: TNT SPORT 3 ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"HighStreet4.uk","High.Street.TV.4.uk","114","epgshareUK","High Street TV 4","UK: HIGH STREET TV 4 ◉","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"NickJunior.uk","Nick.Junior.ie","410","epgshareIE","Nick Junior","UK: NICK JUNIOR","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"SkySportsArena.uk","Sky.Sports.Plus.HD.ie","61","epgshareIE","Sky Sports Plus HD","UK: SKY SPORTS + ᴴᴰ ◉","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"TheJewelryChannel.uk","TJC.uk","170","freeview","TJC HD","UK: TJC ◉","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"skysportspremiereleague.uk","Sky.Sports.Premier.League.ie","150","epgshareIE","Sky Sports Premier League","UK: SKY SPORT PRIME LIGE ᴿᴬᵂ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"BBCOneWales.uk","BBCOneWalesHD.uk","150","freeview","BBC One Wales HD","UK: BBC ONE WALES HD ◉","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"RacingUK.uk","Racing.TV.HD.uk","72","epgshareUK","Racing TV HD","VIP: RACING TV ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"disneyjunior.pt","Disney.Jr.HD.uk","325","epgshareUK","Disney Jr HD","VIP: DISNEY JUNIOR ᴴᴰ","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"FiveUSA.uk","5USA.uk","159","freeview","5 USA","UK: 5 USA ◉","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"TNTSport4.uk","TNT.Sports.4.ie","103","epgshareIE","TNT Sports 4","VIP: TNT SPORT 4 ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"skysportsplus.uk","Sky.Sports.Plus.HD.ie","61","epgshareIE","Sky Sports Plus HD","NOW: SKY SPORTS+ ᴿᴬᵂ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"attheraces.uk","Sky.Sports.Racing.HD.ie","31","epgshareIE","Sky Sports Racing HD","NOW: SKY SPORTS RACING ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"TNTSport1.uk","TNT.Sports.1.HD.ie","92","epgshareIE","TNT Sports 1 HD","VIP: TNT SPORT 1 ᴴᴰ","False","APPLIED","2026-08-11","verified: target carries matching programme titles"
"W.uk","QuestRedPlus1.uk","200","freeview","Quest Red+1","UK: Quest Red +1 ◉","False","REJECTED","2026-08-11","target is Quest Red+1, an unrelated channel; W's real guide is UAndW.uk (164 progs) - fuzzy-name trap"
"BBCOneScotland.uk","BBCOneScotHD.uk","153","freeview","BBC One Scotland HD","UK: BBC ONE SCOT HD ◉","False","ALREADY-MAPPED","2026-08-11","identical entry already present in mapping.json"
"TVOne.us","TV.One.uk","184","epgshareUK","TV One","US: TV ONE HD","False","REJECTED","2026-08-11","TV.One.uk is a Bangladeshi Islamic channel (Quran Class, Fajr Azan, Live from Kabah), not US TV One"
