"tvg","target","progs","src","targetName","providerChannel","confident"
"TNTSport2.uk","TNT.Sports.2.HD.uk","101","epgshareUK","TNT Sports 2 HD","VIP: TNT SPORT 2 ᴴᴰ","False"
"Sony.in","SONY.TV.HD.uk","93","epgshareUK","SONY TV HD","UK: SONY TV HEVC 4K","False"
"DiscoveryDMAX.uk","DMAX.uk","201","freeview","DMAX","UK: DMAX ◉","False"
"HighStreet1.uk","HighStreetTV1.uk","332","freeview","High Street TV 1","UK: HIGH STREET TV 1 ◉","False"
"BBCOneWestMidland.uk","BBCOneWest.uk","149","freeview","BBC One West HD","UK: BBC ONE WEST ◉","False"
"HighStreet3.uk","High.Street.TV.3.uk","106","epgshareUK","High Street TV 3","UK: HIGH STREET TV 3 ◉","False"
"RTETwo.ie","RTE.Two.HD.ie","98","epgshareIE","RTE Two HD","IRL: RTE TWO 4K","False"
"StarUtsav.in","Utsav.Plus.HD.uk","190","epgshareUK","Utsav Plus HD","UK: UTSAV PLUS HEVC HD","False"
"CrimeInvestigation.us","Crime.&.Investigation.HD.ie","103","epgshareIE","Crime & Investigation HD","US: CRIME & INVESTIGATION HD","False"
"BBCOneEastMidland.uk","BBCOneEastMidlands.uk","149","freeview","BBC One East Midlands HD","UK: BBC ONE EAST W ◉","False"
"TNTSport3.uk","TNT.Sports.3.HD.ie","97","epgshareIE","TNT Sports 3 HD","VIP: TNT SPORT 3 ᴴᴰ","False"
"HighStreet4.uk","High.Street.TV.4.uk","114","epgshareUK","High Street TV 4","UK: HIGH STREET TV 4 ◉","False"
"NickJunior.uk","Nick.Junior.ie","410","epgshareIE","Nick Junior","UK: NICK JUNIOR","False"
"SkySportsArena.uk","Sky.Sports.Plus.HD.ie","61","epgshareIE","Sky Sports Plus HD","UK: SKY SPORTS + ᴴᴰ ◉","False"
"TheJewelryChannel.uk","TJC.uk","170","freeview","TJC HD","UK: TJC ◉","False"
"skysportspremiereleague.uk","Sky.Sports.Premier.League.ie","150","epgshareIE","Sky Sports Premier League","UK: SKY SPORT PRIME LIGE ᴿᴬᵂ","False"
"BBCOneWales.uk","BBCOneWalesHD.uk","150","freeview","BBC One Wales HD","UK: BBC ONE WALES HD ◉","False"
"RacingUK.uk","Racing.TV.HD.uk","72","epgshareUK","Racing TV HD","VIP: RACING TV ᴴᴰ","False"
"disneyjunior.pt","Disney.Jr.HD.uk","325","epgshareUK","Disney Jr HD","VIP: DISNEY JUNIOR ᴴᴰ","False"
"FiveUSA.uk","5USA.uk","159","freeview","5 USA","UK: 5 USA ◉","False"
"TNTSport4.uk","TNT.Sports.4.ie","103","epgshareIE","TNT Sports 4","VIP: TNT SPORT 4 ᴴᴰ","False"
"skysportsplus.uk","Sky.Sports.Plus.HD.ie","61","epgshareIE","Sky Sports Plus HD","NOW: SKY SPORTS+ ᴿᴬᵂ","False"
"attheraces.uk","Sky.Sports.Racing.HD.ie","31","epgshareIE","Sky Sports Racing HD","NOW: SKY SPORTS RACING ᴴᴰ","False"
"TNTSport1.uk","TNT.Sports.1.HD.ie","92","epgshareIE","TNT Sports 1 HD","VIP: TNT SPORT 1 ᴴᴰ","False"
"W.uk","QuestRedPlus1.uk","200","freeview","Quest Red+1","UK: Quest Red +1 ◉","False"
"BBCOneScotland.uk","BBCOneScotHD.uk","153","freeview","BBC One Scotland HD","UK: BBC ONE SCOT HD ◉","False"
"TVOne.us","TV.One.uk","184","epgshareUK","TV One","US: TV ONE HD","False"
"DisneyJunior.fr","Disney.Jr.HD.uk","325","epgshareUK","Disney Jr HD","BE: DISNEY JR HD","False"
"HighStreet2.uk","HighStreetTV2.uk","332","freeview","High Street TV 2","UK: HIGH STREET TV 2 ◉","False"
"channelone.il","TV.One.uk","184","epgshareUK","TV One","IL: YES ONE ᴴᴰ ◉","False"
"BBCOneOxford.uk","BBCOneLondonHD.uk","149","freeview","BBC One London HD","UK: BBC ONE LONDON 4K ◉","False"
"DisneyJunior.uk","Disney.Jr.HD.uk","325","epgshareUK","Disney Jr HD","UK: DISNEY JUNIOR 4K","False"
"DisneyJunior.us","Disney.Jr.HD.uk","325","epgshareUK","Disney Jr HD","US: DISNEY JR HD","False"
"StarGold.in","Utsav.GOLD.uk","31","epgshareUK","Utsav GOLD","UK: UTSAV GOLD HEVC 4K","False"
